Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
lurbinectedin,Zepzelca,8/01/18,Treatment of small cell lung cancer (SCLC),Designated/Approved,,Zepzelca (lurbinectedin) is indicated for the treatment of adult patients with metastatic small cell lung cancer (SCLC) with disease progression on or after prior platinum-based chemotherapy.,06/15/2020,06/15/2027,For the treatment of adult patients with metastatic small cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy.,Jazz Pharmaceuticals Ireland Limited,5th Floor Waterloo Exchange,Waterloo Road,Dublin,,,Ireland,646018
Luspatercept,REBLOZYL,03/18/2013,Treatment of myelodysplastic syndrome,Designated/Approved,,REBLOZYL is indicated for the treatment of anemia failing an erythropoiesis stimulating agent and requiring 2 or more red blood cell units over 8 weeks in adult patients with very low- to intermediate-risk myelodysplastic syndromes with ring sideroblasts (MDS-RS) or with myelodysplastic/myeloproliferative neoplasm with ring sideroblasts and thrombocytosis (MDS/MPN-RS-T).,4/03/20,4/03/27,For the treatment of anemia failing an erythropoiesis stimulating agent and requiring 2 or more red blood cell units over 8 weeks in adult patients with very low- to intermediate-risk myelodysplastic syndromes with ring sideroblasts (MDS-RS),Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,387112
Luspatercept-aamt,REBLOZYL,3/11/13,Treatment of B-thalassemia,Designated/Approved,,REBLOZYL is indicated for the treatment of anemia in adult patients with beta thalassemia who require regular red blood cell (RBC) transfusions.,11/08/19,11/08/26,Indicated for the treatment of anemia in adult patients with beta thalassemia who require regular red blood cell (RBC) transfusions.,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,389813
lutetium Lu 177 dotatate,,1/12/09,Treatment of gastro-entero-pancreatic neuroendocrine tumors,Designated/Approved,,"Treatment of somatostatin receptor positive GEP-NETs including foregut, midgut, and hindgut neuroendocrine tumors in adults",01/26/2018,01/26/2025,"Treatment of somatostatin receptor positive GEP-NETs including foregut, midgut, and hindgut neuroendocrine tumors in adults",Advanced Accelerator Applications,57 East Willow Street,,Millburn,New Jersey,7041,United States,271008
macimorelin acetate,Macrelin,05/14/2007,Diagnosis of growth hormone deficiency,Designated/Approved,,For the diagnosis of adult growth hormone deficiency,12/20/2017,12/20/2024,For the diagnosis of adult growth hormone deficiency.,Novo Nordisk Inc.,800 Scudders Mill Road,P.O. Box 846,Plainsboro,New Jersey,8536,United States,225506
macitentan,Opsumit,9/03/09,Treatment of pulmonary arterial hypertension,Designated/Approved,,"Treatment of pulmonary arterial hypertension (PAH, WHO Group 1) to delay disease progression. Disease progression included: death, initiation of intravenous (IV) or subcutaneous prostanoids, or clinical worsening of PAH (decreased 6-minute walk distance, worsened PAH symptoms and need for additional PAH treatment). Opsumit also reduced hospitalization for PAH.",10/18/2013,10/18/2020,"Treatment of pulmonary arterial hypertension (PAH, WHO Group 1) to delay disease progression. Disease progression included: death, initiation of intravenous (IV) or subcutaneous prostanoids, or clinical worsening of PAH (decreased 6-minute walk distance, worsened PAH symptoms and need for additional PAH treatment). Opsumit also reduced hospitalization for PAH.",Actelion Pharmaceuticals Ltd,Gewerbestrasse 16,,Allschwil,,,Switzerland,282209
Mafenide acetate solution,Sulfamylon solution,07/18/1990,For use as an adjunctive topical antimicrobial agent to control bacterial infection when used under moist dressings over meshed autografts on excised burn wounds.,Designated/Approved,,,6/05/98,6/05/05,,"Mylan Laboratories, Inc.",781 Chestnut Ridge Road,P.O. Box 4310,Morgantown,West Virginia,26504,United States,47890
MANNITOL,Bronchitol,2/11/05,For use to facilitate clearance of mucus in patients with bronchiectasis and in patients with cystic fibrosis at risk for bronchiectasis,Designated/Approved,,as add-on maintenance therapy to improve pulmonary function in adult patients 18 years of age and older with cystic fibrosis. Use Bronchitol only for adults who have passed the Bronchitol Tolerance Test.,10/30/2020,10/30/2027,as add-on maintenance therapy to improve pulmonary function in adult patients 18 years of age and older with cystic fibrosis and who have passed the Bronchitol Tolerance Test,"Chiesi Farmaceutici S.p.A (Chiesi USA, Inc.)",175 Regency Woods Place,Suite 600,Cary,North Carolina,27518,United States,198704
maralixibat,Livmarli,9/04/13,Treatment of alagille syndrome,Designated/Approved,,Treatment of cholestatic pruritus in patients with Alagille syndrome (ALGS) 1 year of age and older,09/29/2021,09/29/2028,Treatment of cholestatic pruritus in patients with Alagille syndrome (ALGS) 1 year of age and older,"Mirum Pharmaceuticals, Inc.",950 Tower Lane,Suite 1050,Foster City,California,94404,United States,401513
maribavir,Livtencity,6/07/11,Treatment of clinically significant cytomegalovirus viremia and disease in at-risk patients.,Designated/Approved,,"Treatment of adults and pediatric patients (12 years of age and older and weighing at least 35 kg) with post-transplant cytomegalovirus (CMV) infection/disease that is refractory to treatment (with or without genotypic resistance) with ganciclovir, valganciclovir, cidofovir or foscarnet",11/23/2021,,,"Takeda Pharmaceuticals USA, Inc.",650 East Kendall Street,,Cambridge,Massachusetts,2142,United States,332210
mavacamten,Camzyos,04/27/2016,Treatment of symptomatic hypertrophic cardiomyopathy,Designated/Approved,,Treatment of adults with symptomatic New York Heart Association (NYHA) class II-III obstructive hypertrophic cardiomyopathy (HCM) to improve functional capacity and symptoms,04/28/2022,,,"MyoKardia, Inc. (A Wholly-Owned Subsidiary of Bristol Myers Squibb)",1000 Sierra Point Parkway,,Brisbane,California,94005,United States,515015
mebendazole,VERMOX 500 mg chewable tablets,9/03/14,"Treatment of single or mixed gastrointestinal infestations by Trichuris trichiura (whipworm), Ascaris lumbricoides (large roundworm), and Ancylostoma duodenale and Nectar americanus (hookworm).",Designated/Approved,,treatment of patients one year of age and older withgastrointestinal infections caused by Ascaris lumbricoides (roundworm) and Trichuris trichiura (whipworm),10/19/2016,,,"Janssen Pharmaceutical Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,8869,United States,397013
Mecasermin,Increlex,12/12/95,Treatment of growth hormone insensitivity syndrome.,Designated/Approved,,Long-term treatment of growth failure in children with severe primary IGF-1 deficiency (Primary IGFD) or with growth hormone (GH) gene deletion who have developed neutralizing antibodies to growth hormone.,08/30/2005,08/30/2012,,"Ipsen Biopharmaceuticals, Inc.",106 Allen Road,,Basking Ridge,New Jersey,7920,United States,93695
mecasermin rinfabate,Iplex,05/17/2002,Treatment of growth hormone insensitivity syndrome (GHIS),Designated/Approved,,Treatment of growth failure in children with severe primary IGF-1 deficiency (Primary IGFD) or with growth hormone (GH) gene deletion who have developed neutralizing antibodies to growth hormone,12/12/05,12/12/12,,"Insmed, Inc.",10 Finderne Ave,Building 10,Bridgewater,New Jersey,8807,United States,156302
meclorethamine,Valchlor,08/17/2004,Treatment of mycosis fungoides,Designated/Approved,,Topical treatment of Stage 1A and 1B mycosis fungoides-type cutaneous T-cell lymphoma in patients who have received prior skin-directed therapy.,08/23/2013,08/23/2020,Topical treatment of Stage 1A and 1B mycosis fungoides-type cutaneous T-cell lymphoma in patients who have received prior skin-directed therapy.,Helsinn Birex Pharmaceuticals Ltd.,Damastown,,Mulhuddart,County Dublin,,Ireland,188404
mefloquine HCL,Lariam,04/13/1988,"For use in the treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, and for the prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs",Designated/Approved,,Prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs,5/03/89,5/03/96,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,26287
mefloquine HCL,Lariam,04/13/1988,"For use in the treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, and for the prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs",Designated/Approved,,Treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax,5/02/89,5/02/96,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,26287
Megestrol acetate,Megace,04/13/1988,"Treatment of patients with anorexia, cachexia, or significant weight loss (=/>10% of baseline body weight) and confirmed diagnosis of AIDS.",Designated/Approved,,"Treatment of anorexia, cachexia, or an unexplained significant weight loss in patients with a diagnosis of acquired immune deficiency syndrome.",9/10/93,9/10/00,,Bristol-Myers Squibb Pharmaceutical Research Institute,2400 West Lloyd Expressway,,Evansville,Indiana,47721,United States,26187
meloxicam,Mobic,11/22/2002,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,For relief of the signs and symptoms of pauciarticular or polyarticular course Juvenile Rheumatoid Arthritis in patients 2 years of age or older,8/11/05,8/11/12,,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,6877,United States,160602
Melphalan,Alkeran For Injection,02/24/1992,Treatment of patients with multiple myeloma for whom oral therapy is inappropriate.,Designated/Approved,,For the palliative treatment of patients with multiple myeloma for whom oral melphalan is not appropriate.,11/18/1992,11/18/1999,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,27709,United States,60991
melphalan,EVOMELA,11/24/2008,High dose conditioning treatment prior to hematopoietic progenitor (stem) cell transplantation,Designated/Approved,,for high-dose conditioning treatment prior to hematopoietic progenitor (stem) cell transplantation in patients with multiple myeloma,3/10/16,3/10/23,for high-dose conditioning treatment prior to hematopoietic progenitor (stem) cell transplantation in patients with multiple myeloma,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,8520,United States,270008
melphalan flufenamide,Pepaxto,03/16/2015,"Treatment of plasma cell myeloma, also referred to as multiple myeloma",Designated/Approved,,"Treatment, in combination with dexamethasone, of adult patients with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy and whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent, and one CD-38 directed monoclonal antibody.",02/26/2021,02/26/2028,"Treatment of adult patients with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy and whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent, and one CD-38 directed monoclonal antibody.",Oncopeptides AB,Vastra Tradgardsgatan 15,,Stockholm,,,Sweden,465314
mepolizumab,NUCALA,07/14/2011,Treatment of Churg-Strauss Syndrome,Designated/Approved,,NUCALA prefilled autoinjector and single syringe device is indicated for the treatment of adult patients with eosinophilic granulomatosis with polyangiitis (EGPA).,6/06/19,,,GlaxoSmithKline LLC,Corporation Service Company,1250 S. Collegeville Rd.,Collegeville,Pennsylvania,19426,United States,345111
mepolizumab,NUCALA,05/28/2004,For treatment of hypereosinophilic syndrome,Designated/Approved,,treatment of adult and pediatric patients aged 12 years and older with hypereosinophilic syndrome (HES) for > or = 6 months without an identifiable non-hematologic secondary cause,09/25/2020,09/25/2027,treatment of adult and pediatric patients aged 12 years and older with hypereosinophilic syndrome (HES) for > or = 6 months without an identifiable non-hematologic secondary cause,GlaxoSmithKline LLC,1250 S. Collegeville Road,,Collegeville,Pennsylvania,19426,United States,182103
mepolizumab,NUCALA,07/14/2011,Treatment of Churg-Strauss Syndrome,Designated/Approved,,Treatment of adult patients with Eosinophilic Granulomatosis Polyangiitis (EGPA),12/12/17,12/12/24,Treatment of adult patients with Eosinophilic Granulomatosis Polyangiitis (EGPA),GlaxoSmithKline LLC,Corporation Service Company,1250 S. Collegeville Rd.,Collegeville,Pennsylvania,19426,United States,345111
mercaptopurine oral solution,Purixan,08/20/2012,Treatment of acute lymphoblastic leukemia in pediatric patients,Designated/Approved,,Treatment of patients with acute lymphoblastic leukemia as part of a combination regimen.,04/28/2014,04/28/2021,Treatment of patients with acute lymphoblastic leukemia as part of a combination regimen (in pediatric patients).,Nova Laboratories Limited,Martin House,,Leicester,Wigston,,United Kingdom,373512
